timestamp,score,high_score,highest_tile,matrix
2026-01-18T16:42:53.078284,2689704,2689704,262144,"[[131072, 2048, 32768, 4096], [8192, 131072, 16384, 262144], [131072, 16384, 262144, 131072], [32768, 8192, 2048, 32768]]"
2026-01-18T16:43:19.657286,16728,2689704,1024,"[[128, 1024, 32, 1024], [1024, 512, 1024, 512], [512, 32, 512, 256], [256, 16, 8, 32]]"
2026-01-18T16:43:43.298184,13356,2689704,1024,"[[1024, 16, 1024, 128], [32, 1024, 128, 512], [256, 32, 64, 16], [16, 128, 256, 512]]"
2026-01-18T16:44:07.320929,14732,2689704,2048,"[[512, 256, 2048, 128], [32, 1024, 256, 1024], [16, 256, 128, 16], [32, 1024, 64, 128]]"
2026-01-18T16:44:53.345107,3045620,3045620,524288,"[[32768, 524288, 262144, 16384], [8192, 65536, 16384, 4096], [32768, 8192, 262144, 65536], [16384, 65536, 131072, 8192]]"
2026-01-18T16:45:22.419388,63516,3045620,8192,"[[1024, 64, 8192, 4096], [512, 4096, 2048, 1024], [64, 512, 1024, 256], [1024, 2048, 128, 8192]]"
2026-01-18T16:45:46.027476,32208,3045620,4096,"[[1024, 4096, 128, 1024], [128, 32, 4096, 256], [64, 256, 1024, 128], [256, 64, 512, 256]]"
2026-01-18T16:46:09.671353,26796,3045620,4096,"[[32, 4096, 64, 2048], [512, 2048, 128, 1024], [2048, 512, 64, 512], [64, 256, 32, 128]]"
2026-01-18T16:47:47.469064,30311251948,30311251948,4294967296,"[[1073741824, 536870912, 4294967296, 1073741824], [33554432, 2147483648, 268435456, 33554432], [536870912, 1073741824, 2147483648, 134217728], [33554432, 536870912, 268435456, 67108864]]"
2026-01-18T16:48:23.707563,97388,30311251948,16384,"[[2048, 512, 16384, 512], [512, 256, 4096, 2048], [256, 128, 1024, 512], [4096, 1024, 256, 2048]]"
2026-01-18T16:49:41.134267,142688788,30311251948,8388608,"[[262144, 4194304, 1048576, 8388608], [8388608, 1048576, 8388608, 65536], [4194304, 262144, 4194304, 524288], [2097152, 4194304, 524288, 131072]]"
2026-01-18T16:50:01.618784,7264,30311251948,512,"[[4, 128, 512, 128], [512, 8, 16, 512], [16, 128, 512, 128], [128, 16, 256, 64]]"
2026-01-18T16:50:33.827611,29392,30311251948,2048,"[[256, 2048, 32, 1024], [128, 1024, 2048, 128], [2048, 256, 1024, 256], [16, 64, 128, 32]]"
2026-01-18T16:50:53.650920,5084,30311251948,512,"[[64, 512, 256, 512], [16, 128, 32, 64], [8, 64, 8, 256], [4, 16, 64, 128]]"
2026-01-18T16:51:24.592313,40164,30311251948,4096,"[[512, 4096, 1024, 128], [256, 1024, 4096, 256], [2048, 64, 2048, 128], [1024, 32, 1024, 512]]"
2026-01-18T16:51:43.184567,2772,30311251948,256,"[[128, 256, 128, 256], [32, 128, 2, 16], [128, 256, 32, 4], [32, 128, 8, 2]]"
2026-01-18T16:52:17.931026,48560,30311251948,8192,"[[256, 1024, 2048, 128], [1024, 8192, 1024, 2048], [2048, 4096, 256, 1024], [512, 1024, 2048, 512]]"
2026-01-18T16:53:06.074246,543584,30311251948,65536,"[[65536, 8192, 4096, 1024], [8192, 4096, 16384, 512], [512, 32768, 4096, 32768], [2048, 4096, 32768, 8192]]"
2026-01-18T16:54:43.452061,1109817460,30311251948,134217728,"[[67108864, 1048576, 67108864, 16777216], [16777216, 134217728, 1048576, 2097152], [8388608, 67108864, 8388608, 67108864], [2097152, 4194304, 1048576, 16777216]]"
2026-01-18T16:55:05.808140,9360,30311251948,1024,"[[1024, 256, 32, 512], [256, 128, 512, 128], [16, 512, 128, 64], [8, 32, 512, 128]]"
2026-01-18T16:55:24.395791,5088,30311251948,1024,"[[512, 128, 32, 64], [128, 1024, 256, 32], [256, 128, 32, 64], [128, 8, 16, 32]]"
2026-01-18T16:55:44.675059,6700,30311251948,512,"[[64, 512, 32, 512], [16, 256, 16, 256], [8, 64, 512, 64], [4, 8, 256, 128]]"
2026-01-18T16:56:01.164192,3176,30311251948,256,"[[32, 256, 16, 256], [256, 16, 4, 16], [32, 8, 2, 4], [64, 256, 4, 128]]"
2026-01-18T16:56:15.352695,2140,30311251948,256,"[[8, 128, 256, 64], [64, 16, 128, 16], [4, 256, 4, 64], [16, 32, 2, 8]]"
2026-01-18T16:57:01.015148,174676,30311251948,16384,"[[4096, 128, 16384, 1024], [1024, 16384, 4096, 512], [512, 4096, 512, 16384], [1024, 2048, 256, 4096]]"
2026-01-18T16:57:28.829595,73168,30311251948,8192,"[[256, 4096, 2048, 8192], [128, 2048, 8192, 2048], [512, 128, 2048, 128], [128, 256, 1024, 512]]"
2026-01-18T16:57:48.216164,5144,30311251948,512,"[[256, 32, 512, 64], [32, 4, 128, 4], [512, 16, 64, 16], [128, 64, 512, 32]]"
2026-01-18T16:57:59.482703,1472,30311251948,256,"[[128, 64, 4, 64], [64, 8, 128, 4], [32, 256, 4, 16], [8, 64, 32, 8]]"
2026-01-18T16:58:17.845971,4868,30311251948,512,"[[128, 32, 128, 32], [32, 512, 32, 256], [4, 128, 512, 32], [16, 8, 64, 256]]"
2026-01-18T16:58:35.168904,3952,30311251948,512,"[[4, 64, 512, 16], [64, 8, 64, 8], [512, 32, 16, 4], [16, 256, 4, 64]]"
2026-01-18T16:58:46.209572,1516,30311251948,256,"[[4, 256, 32, 128], [8, 4, 8, 64], [2, 128, 4, 8], [8, 32, 128, 4]]"
2026-01-18T16:59:06.471943,8052,30311251948,1024,"[[256, 512, 1024, 256], [16, 256, 16, 8], [8, 32, 256, 32], [128, 512, 16, 512]]"
2026-01-18T16:59:30.731743,27256,30311251948,4096,"[[256, 128, 2048, 128], [128, 32, 1024, 4096], [1024, 64, 512, 1024], [128, 2048, 256, 512]]"
2026-01-18T16:59:58.309794,16564,30311251948,1024,"[[128, 1024, 16, 1024], [512, 128, 1024, 64], [64, 1024, 32, 8], [512, 64, 256, 16]]"
2026-01-18T17:00:36.931145,56760,30311251948,4096,"[[32, 1024, 4096, 1024], [2048, 64, 1024, 64], [128, 2048, 512, 4096], [2048, 64, 256, 32]]"
2026-01-18T17:00:54.466211,8224,30311251948,1024,"[[16, 256, 512, 128], [8, 32, 1024, 256], [64, 1024, 256, 32], [32, 16, 128, 256]]"
2026-01-18T17:01:24.557038,48576,30311251948,4096,"[[2048, 4096, 256, 2048], [1024, 128, 32, 1024], [256, 64, 4096, 256], [1024, 256, 2048, 64]]"
2026-01-18T17:02:36.083949,164100348,30311251948,16777216,"[[16777216, 131072, 16777216, 2097152], [4194304, 262144, 8388608, 131072], [2097152, 1048576, 2097152, 524288], [8388608, 4194304, 524288, 131072]]"
2026-01-18T17:03:13.122492,92648,30311251948,8192,"[[8192, 1024, 8192, 512], [1024, 4096, 1024, 256], [256, 64, 128, 2048], [4096, 1024, 512, 256]]"
2026-01-18T17:03:33.550218,18736,30311251948,4096,"[[64, 512, 4096, 512], [32, 256, 1024, 256], [64, 2048, 256, 512], [32, 256, 2048, 128]]"
2026-01-18T17:04:34.438038,11233860,30311251948,2097152,"[[65536, 2097152, 65536, 262144], [2097152, 65536, 262144, 65536], [524288, 131072, 65536, 32768], [262144, 65536, 32768, 16384]]"
2026-01-18T17:05:52.127253,377000616,30311251948,33554432,"[[16777216, 33554432, 16777216, 4194304], [2097152, 16777216, 2097152, 1048576], [33554432, 4194304, 1048576, 262144], [8388608, 2097152, 16777216, 1048576]]"
2026-01-18T17:07:14.475218,5647908716,30311251948,536870912,"[[16777216, 536870912, 268435456, 536870912], [33554432, 67108864, 33554432, 268435456], [16777216, 33554432, 268435456, 67108864], [8388608, 4194304, 33554432, 134217728]]"
2026-01-18T17:09:16.415087,12402948399852,12402948399852,1099511627776,"[[549755813888, 17179869184, 1099511627776, 274877906944], [274877906944, 1099511627776, 274877906944, 68719476736], [34359738368, 549755813888, 68719476736, 274877906944], [274877906944, 137438953472, 34359738368, 137438953472]]"
2026-01-18T17:09:59.084519,2460912,12402948399852,262144,"[[32768, 131072, 262144, 65536], [4096, 8192, 131072, 16384], [2048, 262144, 65536, 8192], [4096, 8192, 16384, 65536]]"
